date,states,positive,negative,pending,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,recovered,death,total,totalTestResults,deathIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200411,56,522506,2142823,16593,51009,13563,5978,24196,20339,2681922,2665329,1851,106776,29870,136646
20200410,56,492636,2036047,17444,48465,12688,5937,23395,18488,2546127,2528683,2064,119310,34162,153472
20200409,56,458474,1916737,17631,46665,12244,5794,21162,16424,2392842,2375211,1877,128443,34083,162526
20200408,56,424391,1788294,17228,41095,9927,4131,19378,14547,2229913,2212685,1901,109403,30161,139564
20200407,56,394230,1678891,16557,39677,9875,4076,18477,12646,2089678,2073121,1926,117662,30415,148077
20200406,56,363815,1561229,17292,32210,6943,2961,16584,10720,1942336,1925044,1166,120496,28746,149242
20200405,56,335069,1440733,17307,27909,5499,652,14542,9554,1793109,1775802,1175,96629,25972,122601
20200404,56,309097,1344104,15573,26374,5209,656,12840,8379,1668774,1653201,1353,195732,33555,229287
20200403,56,275542,1148372,61980,23825,4811,605,10861,7026,1485894,1423914,1191,99957,32080,132037
20200402,56,243462,1048415,62101,21135,4410,574,8586,5835,1353978,1291877,1089,93881,28081,121962
20200401,56,215381,954534,59669,19408,3937,561,7084,4746,1229584,1169915,943,78247,25285,103532
20200331,56,190096,876287,59518,17353,3487,507,5666,3803,1125901,1066383,820,82491,24499,106990
20200330,56,165597,793796,65369,15216,3087,451,4560,2983,1024762,959393,516,97424,21206,118630
20200329,56,144391,696372,65545,13501,2456,439,4061,2467,906308,840763,466,73593,19494,93087
20200328,56,124897,622779,65709,11872,2174,390,3148,2001,813385,747676,427,88530,19423,107953
20200327,56,105474,534249,60091,10511,1792,324,2422,1574,699814,639723,366,91968,18681,110649
20200326,56,86793,442281,60251,7387,1299,258,97,1208,589325,529074,277,79090,17301,96391
20200325,56,69492,363191,51235,740,,167,147,931,483918,432683,225,66606,16931,83537
20200324,56,52561,296585,14433,369,,,,706,363579,349146,197,56425,9966,66391
20200323,56,42595,240160,14571,67,,,,509,297326,282755,83,45054,10276,55330
20200322,56,32319,195106,2842,56,,,,426,230267,227425,129,37570,8649,46219
20200321,56,23670,157536,3468,,,,,297,184674,181206,50,38566,6248,44814
20200320,56,17422,118970,3330,,,,,247,139722,136392,62,30031,5352,35383
20200319,56,12070,88939,3016,,,,,185,104025,101009,43,21771,3972,25743
20200318,56,8098,67168,2526,,,,,142,77792,75266,23,19115,2067,21182
20200317,56,6031,48053,1687,,,,,119,55771,54084,22,11949,1733,13682
20200316,56,4298,36104,1691,,,,,97,42093,40402,21,13480,846,14326
20200315,51,3452,22624,2242,,,,,76,28318,26076,13,5522,780,6302
20200314,51,2672,17102,1236,,,,,63,21010,19774,8,3489,508,3997
20200313,51,2164,13613,1130,,,,,55,16907,15777,4,5572,645,6217
20200312,51,1519,8041,673,,,,,51,10233,9560,8,1935,259,2194
20200311,51,1260,6106,563,,,,,43,7929,7366,6,2294,254,2548
20200310,51,1006,3812,469,,,,,37,5287,4818,2,468,213,681
20200309,51,793,3344,313,,,,,35,4450,4137,4,1009,231,1240
20200308,51,562,2335,347,,,,,31,3244,2897,4,496,141,637
20200307,51,421,1839,602,,,,,27,2862,2260,1,251,125,376
20200306,37,296,1588,458,,,,,26,2342,1884,6,618,92,710
20200305,25,204,970,197,,,,,20,1371,1174,4,211,47,258
20200304,15,157,759,103,,,,,16,1019,916,2,753,97,850
20200303,2,60,6,,,,,,14,66,66,3,6,25,31
20200302,2,35,,,,,,,11,35,35,3,0,4,4
20200301,2,31,,,,,,,8,31,31,3,0,13,13
20200229,1,18,,,,,,,5,18,18,1,0,9,9
20200228,1,9,,,,,,,4,9,9,,,,